config,seed,t,P,theta,cap,score,adopted
small-4-3,4,200,1.50,0.40,3,133.0,0
small-4-3,4,200,1.50,0.40,2,133.0,1
small-4-3,4,250,1.80,0.40,2,39.0,0
small-4-3,4,250,1.30,0.40,2,39.0,0
small-4-3,4,250,1.50,0.50,2,39.0,0
small-4-3,4,250,1.50,0.40,2,39.0,1
small-4-3,4,300,1.50,0.33,2,-5.6,0
small-4-3,4,300,1.50,0.40,1,-5.6,0
small-4-3,4,300,1.50,0.40,3,-5.6,0
small-4-3,4,300,1.50,0.40,2,-5.6,1
small-4-3,4,350,1.80,0.40,2,2.3,0
small-4-3,4,350,1.30,0.40,2,2.3,0
small-4-3,4,350,1.50,0.50,2,2.3,0
small-4-3,4,350,1.50,0.40,2,2.3,1
small-4-3,4,400,1.50,0.33,2,0.0,0
small-4-3,4,400,1.50,0.40,1,0.0,0
small-4-3,4,400,1.50,0.40,3,0.0,0
small-4-3,4,400,1.50,0.40,2,0.0,1
small-4-3,4,450,1.80,0.40,2,0.0,0
small-4-3,4,450,1.30,0.40,2,0.0,0
small-4-3,4,450,1.50,0.50,2,0.0,0
small-4-3,4,450,1.50,0.40,2,0.0,1
small-4-3,5,50,1.80,0.40,2,212.2,0
small-4-3,5,50,1.30,0.40,2,212.2,0
small-4-3,5,50,1.50,0.50,2,212.2,0
small-4-3,5,50,1.50,0.40,2,212.2,1
small-4-3,5,100,1.50,0.33,2,118.1,0
small-4-3,5,100,1.50,0.40,1,118.1,0
small-4-3,5,100,1.50,0.40,3,118.1,0
small-4-3,5,100,1.50,0.40,2,118.1,1
small-4-3,5,150,1.80,0.40,2,171.2,0
small-4-3,5,150,1.30,0.40,2,171.2,0
small-4-3,5,150,1.50,0.50,2,171.2,0
small-4-3,5,150,1.50,0.40,2,171.2,1
small-4-3,5,200,1.50,0.33,2,130.3,0
small-4-3,5,200,1.50,0.40,1,130.3,0
small-4-3,5,200,1.50,0.40,3,130.3,0
small-4-3,5,200,1.50,0.40,2,130.3,1
small-4-3,5,250,1.80,0.40,2,41.7,0
small-4-3,5,250,1.30,0.40,2,48.5,0
small-4-3,5,250,1.50,0.50,2,41.7,0
small-4-3,5,250,1.30,0.40,2,48.5,1
small-4-3,5,300,1.30,0.33,2,29.8,0
small-4-3,5,300,1.30,0.40,1,29.8,0
small-4-3,5,300,1.30,0.40,3,29.8,0
small-4-3,5,300,1.30,0.40,2,29.8,1
small-4-3,5,350,1.10,0.40,2,34.4,0
small-4-3,5,350,1.60,0.40,2,34.4,0
small-4-3,5,350,1.30,0.50,2,34.4,0
small-4-3,5,350,1.30,0.40,2,34.4,1
small-4-3,5,400,1.30,0.33,2,36.1,0
small-4-3,5,400,1.30,0.40,1,36.1,0
small-4-3,5,400,1.30,0.40,3,36.1,0
small-4-3,5,400,1.30,0.40,2,36.1,1
small-4-3,5,450,1.10,0.40,2,2.6,0
small-4-3,5,450,1.60,0.40,2,2.6,0
small-4-3,5,450,1.30,0.50,2,2.6,0
small-4-3,5,450,1.30,0.40,2,2.6,1
small-4-3,6,50,1.80,0.40,2,141.7,0
small-4-3,6,50,1.30,0.40,2,141.7,0
small-4-3,6,50,1.50,0.50,2,141.7,0
small-4-3,6,50,1.50,0.40,2,141.7,1
small-4-3,6,100,1.50,0.33,2,193.2,0
small-4-3,6,100,1.50,0.40,1,193.2,0
small-4-3,6,100,1.50,0.40,3,193.2,0
small-4-3,6,100,1.50,0.40,2,193.2,1
small-4-3,6,150,1.80,0.40,2,242.7,0
small-4-3,6,150,1.30,0.40,2,214.3,0
small-4-3,6,150,1.50,0.50,2,214.3,0
small-4-3,6,150,1.80,0.40,2,242.7,1
small-4-3,6,200,2.10,0.40,2,169.1,0
small-4-3,6,200,1.80,0.33,2,169.1,0
small-4-3,6,200,1.80,0.40,1,169.1,0
small-4-3,6,200,1.80,0.40,2,169.1,1
small-4-3,6,250,1.80,0.40,3,81.2,0
small-4-3,6,250,2.10,0.40,2,39.9,0
small-4-3,6,250,1.60,0.40,2,39.9,0
small-4-3,6,250,1.80,0.40,2,81.2,1
small-4-3,6,300,1.80,0.50,2,49.9,0
small-4-3,6,300,1.80,0.33,2,49.9,0
small-4-3,6,300,1.80,0.40,1,49.9,0
small-4-3,6,300,1.80,0.40,2,49.9,1
small-4-3,6,350,1.80,0.40,3,-16.2,0
small-4-3,6,350,1.80,0.50,2,-16.2,0
small-4-3,6,350,1.80,0.33,2,-16.2,0
small-4-3,6,350,1.80,0.40,2,-16.2,1
small-4-3,6,400,1.80,0.40,1,-20.0,0
small-4-3,6,400,1.80,0.40,3,-20.0,0
small-4-3,6,400,1.80,0.50,2,-20.0,0
small-4-3,6,400,1.80,0.40,2,-20.0,1
