arm,seed,vertex_collisions,swap_collisions,replans,disturb_events,replans_per_disturb,steps_stuck
mpc,5,0,0,119,9,13.22,374
mpc,6,0,0,130,9,14.44,292
mpc,7,0,0,102,13,7.85,279
mpc,8,0,0,78,15,5.2,294
mpc,9,0,0,89,12,7.42,257
mpc,10,0,0,125,10,12.5,481
mpc,11,0,0,133,7,19.0,41
mpc,12,0,0,132,17,7.76,340
mpc,13,0,0,147,10,14.7,462
mpc,14,0,0,87,10,8.7,601
mpc,15,0,0,81,6,13.5,69
mpc,16,0,0,105,4,26.25,0
mpc,17,0,0,207,11,18.82,165
mpc,18,0,0,110,11,10.0,550
mpc,19,0,0,169,12,14.08,604
mpc,20,0,0,94,8,11.75,65
mpc,21,0,0,112,10,11.2,401
mpc,22,0,0,147,13,11.31,580
mpc,23,0,0,140,11,12.73,503
mpc,24,0,0,107,8,13.38,0
mpc,25,0,0,122,10,12.2,386
mpc,26,0,0,148,9,16.44,291
mpc,27,0,0,86,11,7.82,0
mpc,28,0,0,143,15,9.53,393
mpc,29,0,0,73,13,5.62,767
mpc,30,0,0,96,4,24.0,0
mpc,31,0,0,103,5,20.6,0
mpc,32,0,0,80,8,10.0,377
mpc,33,0,0,121,8,15.12,452
mpc,34,0,0,145,10,14.5,167
mpc,35,0,0,54,11,4.91,297
mpc,36,0,0,121,8,15.12,367
mpc,37,0,0,180,9,20.0,201
mpc,38,0,0,124,10,12.4,776
mpc,39,0,0,72,6,12.0,725
mpc,40,0,0,78,11,7.09,0
mpc,41,0,0,162,6,27.0,80
mpc,42,0,0,154,5,30.8,0
mpc,43,0,0,111,12,9.25,242
mpc,44,0,0,124,6,20.67,157
mpc,45,0,0,112,6,18.67,0
mpc,46,0,0,94,9,10.44,194
mpc,47,0,0,145,13,11.15,665
mpc,48,0,0,129,8,16.12,352
