arm,seed,onv,stranded,charge_trips,theta_mean
osc0.10,47,727.8,3,86,0.4
osc0.10,48,862.0,2,115,0.4
mpc,1,914.2,4,99,0.4
mpc,2,486.8,0,121,0.302
mpc,3,184.2,8,74,0.4
mpc,4,757.4,1,111,0.295
mpc,5,583.5,1,121,0.4
mpc,6,619.7,3,67,0.309
mpc,7,892.0,1,133,0.406
mpc,8,382.3,7,91,0.385
mpc,9,994.3,1,109,0.33
mpc,10,421.0,2,139,0.344
mpc,11,416.6,4,88,0.52
mpc,12,842.3,0,105,0.358
mpc,13,804.7,5,77,0.344
mpc,14,847.7,2,104,0.4
mpc,15,931.2,1,117,0.49
mpc,16,868.6,0,102,0.4
mpc,17,789.9,0,133,0.4
mpc,18,537.6,2,109,0.4
mpc,19,720.0,3,111,0.386
mpc,20,879.9,4,108,0.4
mpc,21,870.4,1,113,0.53
mpc,22,1305.3,1,80,0.316
mpc,23,880.5,2,113,0.53
mpc,24,654.2,3,98,0.406
mpc,25,702.8,2,101,0.316
mpc,26,1160.7,2,77,0.4
mpc,27,677.6,2,115,0.344
mpc,28,781.7,1,108,0.354
mpc,29,1047.9,0,127,0.434
mpc,30,971.7,2,89,0.4
mpc,31,648.6,4,74,0.326
mpc,32,669.9,3,87,0.4
mpc,33,1024.5,2,113,0.4
mpc,34,482.1,0,124,0.4
mpc,35,999.6,1,108,0.4
mpc,36,995.2,0,118,0.4
mpc,37,899.8,2,97,0.295
mpc,38,1112.7,2,97,0.4
mpc,39,889.4,1,116,0.413
mpc,40,1145.0,0,123,0.44
mpc,41,780.8,2,127,0.49
mpc,42,943.6,0,115,0.4
mpc,43,1024.0,4,94,0.344
mpc,44,918.8,0,120,0.49
mpc,45,717.7,0,120,0.4
mpc,46,765.8,3,86,0.374
mpc,47,782.2,2,123,0.379
mpc,48,667.2,4,118,0.4
mpc_osc0.10,1,955.6,1,110,0.3125
mpc_osc0.10,2,521.5,2,101,0.2535
mpc_osc0.10,3,506.2,0,119,0.3525
mpc_osc0.10,4,769.1,1,107,0.257
mpc_osc0.10,5,652.2,0,116,0.2325
mpc_osc0.10,6,691.7,1,88,0.264
mpc_osc0.10,7,761.5,1,119,0.3125
mpc_osc0.10,8,425.6,3,118,0.2695
mpc_osc0.10,9,904.0,2,96,0.285
mpc_osc0.10,10,478.8,1,146,0.33
mpc_osc0.10,11,522.6,3,64,0.264
mpc_osc0.10,12,847.8,1,117,0.335
mpc_osc0.10,13,1132.2,2,109,0.257
mpc_osc0.10,14,743.8,1,116,0.2625
mpc_osc0.10,15,978.0,0,100,0.27
mpc_osc0.10,16,863.6,3,99,0.295
mpc_osc0.10,17,829.8,1,107,0.325
mpc_osc0.10,18,510.1,1,84,0.2695
mpc_osc0.10,19,878.9,1,127,0.291
mpc_osc0.10,20,802.2,5,107,0.2825
mpc_osc0.10,21,1115.8,3,91,0.2535
mpc_osc0.10,22,1086.5,2,108,0.3925
mpc_osc0.10,23,1097.3,1,118,0.2525
mpc_osc0.10,24,744.5,1,104,0.363
mpc_osc0.10,25,694.3,0,118,0.305
mpc_osc0.10,26,1161.9,2,70,0.2895
mpc_osc0.10,27,683.2,0,126,0.274
mpc_osc0.10,28,791.9,6,54,0.2725
mpc_osc0.10,29,980.6,4,105,0.283
mpc_osc0.10,30,850.9,7,56,0.2725
mpc_osc0.10,31,917.4,1,90,0.3225
mpc_osc0.10,32,446.9,5,99,0.2795
mpc_osc0.10,33,906.9,0,98,0.325
mpc_osc0.10,34,837.4,3,100,0.3325
mpc_osc0.10,35,982.2,3,83,0.265
mpc_osc0.10,36,898.6,1,112,0.3025
mpc_osc0.10,37,835.2,1,101,0.247
mpc_osc0.10,38,920.0,3,88,0.2325
mpc_osc0.10,39,705.9,0,114,0.277
mpc_osc0.10,40,1131.1,7,64,0.2325
mpc_osc0.10,41,906.8,3,82,0.257
mpc_osc0.10,42,1032.8,2,101,0.3175
mpc_osc0.10,43,1206.8,2,105,0.274
mpc_osc0.10,44,996.0,2,78,0.2925
mpc_osc0.10,45,948.6,0,113,0.305
mpc_osc0.10,46,556.4,1,94,0.2795
mpc_osc0.10,47,836.7,1,102,0.2925
mpc_osc0.10,48,959.6,2,110,0.3525
